title,city,salary,skills
"AQA Engineer (Python, Playwright)",Львів,Не вказана,"['Git', 'JavaScript', 'Python', 'React', 'Django', 'Selenium', 'Програмування', 'AWS', 'Playwright']"
Викладач Python в школу програмування (онлайн),Львів,8000 - 22000,"['Python', 'Комунікабельність', 'Програмування']"
"Python Developer (Mid-Level, Engineering Automatization)",Львів,63500 - 98000,"['Python', 'Scrum', 'Agile', 'Communicability', 'Responsibility', 'Programming', 'Knowledge of OOP principles', 'Discipline', 'Engineering']"
"Python Developer (Mid. Level, Senior, Engineering Automatization)",Львів,76000 - 125000,"['Python', 'C#', 'Communicability', 'Responsibility', 'REST', 'Programming', 'Knowledge of OOP principles', 'RabbitMQ', 'Discipline']"
"Python/Django Developer (Junior, Middle, Middle+)",Львів,Не вказана,"['JavaScript', 'Git', 'GitLab', 'Python', 'Trello', 'PostgreSQL', 'React', 'Знання принципів ООП', 'Docker', 'Docker Compose', 'Django', 'Django Rest Framework', 'Unit-тестування', 'REST', 'Selenium', 'Redis', 'Знання принципів TDD', 'ORM', 'Celery', 'KISS', 'Продуктивність', 'SOLID Principles']"
Senior/Tech Lead Python developer,Львів,130000 - 195000,"['Python', 'Django', 'Django Rest Framework', 'REST', 'OpenAI']"
Кодер (Python),Одеса,10000 - 20000,"['HTML', 'Python', 'Робота в команді', 'Бажання вчитися і розвиватися']"
"Вчитель IT (Python, Minecraft)",Одеса,10000 - 15000,"['Комунікабельність', 'Відповідальність']"
"Викладач IT-технологій (Python, Unity)",Ковель,10000 - 12000,"['Відповідальність', 'Користувач ПК', 'Python', 'Unity', 'Викладання для дітей та підлітків', 'Програмування', 'Активність', 'Організованість']"
Python developer (з навчанням),Київ,26000 - 31000,"['Java', 'Python', 'Комунікабельність', 'Програмування']"
Python Developer,Київ,Не вказана,"['Користувач ОС Linux', 'JavaScript', 'PHP', 'MySQL', 'Git', 'Python', 'PostgreSQL', 'Docker', 'Робота в команді', 'HTTP', 'REST API', 'Розробка API']"
"Intern/trainee analytic programmer (DAX, M, VBA, SAS, R, Python)",Київ,Не вказана,[]
